node, assignment, time2inf, time2death
107,c,43.13359839477749,43.13359839477749
108,c,43.13359839477749,43.13359839477749
109,t,43.13359839477749,43.13359839477749
110,t,43.13359839477749,43.13359839477749
111,t,43.13359839477749,43.13359839477749
112,c,43.13359839477749,43.13359839477749
113,t,43.13359839477749,43.13359839477749
114,c,43.13359839477749,43.13359839477749
115,t,43.13359839477749,43.13359839477749
116,t,43.13359839477749,43.13359839477749
117,c,43.13359839477749,43.13359839477749
118,c,43.13359839477749,43.13359839477749
119,c,43.13359839477749,43.13359839477749
120,na,12.640811940961953,15.653009755748121
121,c,43.13359839477749,43.13359839477749
122,c,43.13359839477749,43.13359839477749
123,na,0.03241927894414837,43.13359839477749
124,t,43.13359839477749,43.13359839477749
125,c,43.13359839477749,43.13359839477749
126,c,43.13359839477749,43.13359839477749
127,c,43.13359839477749,43.13359839477749
128,c,43.13359839477749,43.13359839477749
129,c,43.13359839477749,43.13359839477749
130,c,43.13359839477749,43.13359839477749
131,t,43.13359839477749,43.13359839477749
132,c,43.13359839477749,43.13359839477749
133,c,43.13359839477749,43.13359839477749
134,c,43.13359839477749,43.13359839477749
135,c,43.13359839477749,43.13359839477749
136,t,43.13359839477749,43.13359839477749
137,t,43.13359839477749,43.13359839477749
138,c,43.13359839477749,43.13359839477749
139,c,10.1636311964587,13.104227890423033
140,c,43.13359839477749,43.13359839477749
141,t,43.13359839477749,43.13359839477749
142,c,43.13359839477749,43.13359839477749
143,t,43.13359839477749,43.13359839477749
144,c,43.13359839477749,43.13359839477749
145,c,43.13359839477749,43.13359839477749
146,c,43.13359839477749,43.13359839477749
147,t,43.13359839477749,43.13359839477749
148,t,43.13359839477749,43.13359839477749
149,c,43.13359839477749,43.13359839477749
150,c,43.13359839477749,43.13359839477749
151,t,43.13359839477749,43.13359839477749
152,c,43.13359839477749,43.13359839477749
153,c,5.694266942377102,6.075933866119968
154,c,43.13359839477749,43.13359839477749
155,c,43.13359839477749,43.13359839477749
156,t,43.13359839477749,43.13359839477749
157,c,43.13359839477749,43.13359839477749
158,c,43.13359839477749,43.13359839477749
159,c,43.13359839477749,43.13359839477749
160,c,43.13359839477749,43.13359839477749
161,c,43.13359839477749,43.13359839477749
162,c,43.13359839477749,43.13359839477749
163,c,43.13359839477749,43.13359839477749
164,t,43.13359839477749,43.13359839477749
165,t,43.13359839477749,43.13359839477749
166,c,43.13359839477749,43.13359839477749
167,c,8.106493877990038,8.125107577755099
168,c,43.13359839477749,43.13359839477749
169,c,43.13359839477749,43.13359839477749
170,t,43.13359839477749,43.13359839477749
171,c,43.13359839477749,43.13359839477749
172,c,43.13359839477749,43.13359839477749
