node, assignment, time2inf, time2death
134,t,125.018475180397,125.018475180397
135,t,125.018475180397,125.018475180397
136,c,125.018475180397,125.018475180397
137,c,125.018475180397,125.018475180397
138,t,125.018475180397,125.018475180397
139,c,125.018475180397,125.018475180397
140,c,40.92194481612241,51.33738515932066
141,t,125.018475180397,125.018475180397
142,t,125.018475180397,125.018475180397
143,na,0.24633480073296427,21.820790930244954
144,c,125.018475180397,125.018475180397
145,c,125.018475180397,125.018475180397
146,t,125.018475180397,125.018475180397
147,c,125.018475180397,125.018475180397
148,c,125.018475180397,125.018475180397
149,t,125.018475180397,125.018475180397
150,c,44.129264752418976,45.26172590116838
151,t,125.018475180397,125.018475180397
152,t,125.018475180397,125.018475180397
153,na,-1,0
154,c,125.018475180397,125.018475180397
155,t,31.339259799217555,34.68183245563984
156,c,125.018475180397,125.018475180397
157,c,125.018475180397,125.018475180397
158,c,125.018475180397,125.018475180397
159,c,32.83512424651111,33.83297242949212
160,t,125.018475180397,125.018475180397
161,c,125.018475180397,125.018475180397
162,c,125.018475180397,125.018475180397
163,t,125.018475180397,125.018475180397
164,c,125.018475180397,125.018475180397
165,t,125.018475180397,125.018475180397
166,t,125.018475180397,125.018475180397
167,c,125.018475180397,125.018475180397
168,c,125.018475180397,125.018475180397
169,c,125.018475180397,125.018475180397
170,t,125.018475180397,125.018475180397
171,c,125.018475180397,125.018475180397
172,c,125.018475180397,125.018475180397
173,t,125.018475180397,125.018475180397
174,t,125.018475180397,125.018475180397
175,t,125.018475180397,125.018475180397
176,t,125.018475180397,125.018475180397
177,t,125.018475180397,125.018475180397
178,c,125.018475180397,125.018475180397
179,t,125.018475180397,125.018475180397
180,c,125.018475180397,125.018475180397
181,c,125.018475180397,125.018475180397
182,t,125.018475180397,125.018475180397
183,t,125.018475180397,125.018475180397
184,t,125.018475180397,125.018475180397
185,t,125.018475180397,125.018475180397
186,c,125.018475180397,125.018475180397
187,na,15.841691027639135,18.233146066880245
188,c,125.018475180397,125.018475180397
189,t,125.018475180397,125.018475180397
190,c,125.018475180397,125.018475180397
191,c,125.018475180397,125.018475180397
192,c,125.018475180397,125.018475180397
193,c,125.018475180397,125.018475180397
194,t,125.018475180397,125.018475180397
195,t,125.018475180397,125.018475180397
196,c,125.018475180397,125.018475180397
197,c,125.018475180397,125.018475180397
198,t,125.018475180397,125.018475180397
199,t,24.425225200344553,32.30950189995303
200,t,125.018475180397,125.018475180397
201,t,20.89739740731048,23.043783317716002
202,c,125.018475180397,125.018475180397
203,c,125.018475180397,125.018475180397
204,c,125.018475180397,125.018475180397
205,c,125.018475180397,125.018475180397
206,t,125.018475180397,125.018475180397
207,t,125.018475180397,125.018475180397
208,t,125.018475180397,125.018475180397
209,c,125.018475180397,125.018475180397
210,c,125.018475180397,125.018475180397
211,t,125.018475180397,125.018475180397
212,t,125.018475180397,125.018475180397
213,c,125.018475180397,125.018475180397
214,t,125.018475180397,125.018475180397
215,c,125.018475180397,125.018475180397
216,t,125.018475180397,125.018475180397
217,t,125.018475180397,125.018475180397
218,t,125.018475180397,125.018475180397
219,c,125.018475180397,125.018475180397
220,c,125.018475180397,125.018475180397
221,t,125.018475180397,125.018475180397
222,c,125.018475180397,125.018475180397
223,c,125.018475180397,125.018475180397
224,t,125.018475180397,125.018475180397
225,c,125.018475180397,125.018475180397
226,t,125.018475180397,125.018475180397
227,c,125.018475180397,125.018475180397
228,t,125.018475180397,125.018475180397
229,t,125.018475180397,125.018475180397
230,t,125.018475180397,125.018475180397
231,c,125.018475180397,125.018475180397
232,t,125.018475180397,125.018475180397
233,t,27.373867634812683,29.45330923385163
234,c,80.05382430260113,82.41652007734702
235,c,125.018475180397,125.018475180397
236,c,125.018475180397,125.018475180397
237,c,125.018475180397,125.018475180397
238,t,125.018475180397,125.018475180397
239,t,125.018475180397,125.018475180397
240,t,125.018475180397,125.018475180397
241,t,54.37660671111714,57.792428432259356
242,c,125.018475180397,125.018475180397
243,t,125.018475180397,125.018475180397
244,c,125.018475180397,125.018475180397
245,t,125.018475180397,125.018475180397
246,c,125.018475180397,125.018475180397
247,c,125.018475180397,125.018475180397
248,t,125.018475180397,125.018475180397
249,t,125.018475180397,125.018475180397
