node, assignment, time2inf_trt, time2inf_con
76,na,137.29981770998072,129.81530608674578
77,na,32.80865771989703,75.08866902877722
78,na,38.11654854363775,31.72603343985571
79,e,137.29981770998072,40.994695976447844
80,na,37.481951303624996,58.12106599978279
81,e,73.99360538887942,61.46099922079396
82,na,5.024506155057131,66.58987146488587
83,na,18.05438976056362,54.972525699472236
84,e,36.65575592486837,48.048860977950966
85,na,29.49051866670961,14.594890663875544
86,na,38.71776153615225,20.971475908737215
87,na,6.752211732623041,43.58140846049056
88,na,49.23842901439,36.67102190459206
89,e,44.051567916334974,37.386017497076615
90,e,64.16976900465518,43.80412964056915
91,e,137.29981770998072,37.34771638468269
92,na,23.311693048513824,55.07719548933745
93,na,76.63151692184984,56.65084122002367
94,na,27.71293086135581,27.824610783823406
95,na,45.439214429389075,40.15310955241743
96,na,47.408047991289976,29.161415876308364
97,na,65.2569841698372,46.17959858673731
98,na,40.45427655391899,62.20054376165809
99,na,13.416344577355773,56.54632600952864
100,na,66.30054217209786,36.947243628645715
101,na,42.42539775094759,28.182361023065244
102,na,25.593057082898834,51.935211231174996
103,na,29.39975330364983,52.537737480615995
104,na,20.685968451928932,38.41862869992673
105,na,17.860350729765255,74.89168902562608
106,na,47.46637025450901,35.230238367953255
107,na,32.103362052085394,53.38650626006725
108,e,88.51400728812175,70.97237260579799
109,na,60.95012708832121,27.20127981929177
110,na,38.94639787214216,35.764194584144484
111,na,39.66696359738932,59.22584489601704
112,na,29.309082198980025,129.81530608674578
113,na,20.352866692926206,46.39095534331026
114,na,22.071610964284435,11.021685754573708
115,na,19.96690954243599,67.78019945572404
116,na,8.341828493411926,50.129825194522056
117,na,33.51768280029555,58.69487745134101
118,na,44.680287694141526,33.08342692962002
119,na,137.29981770998072,42.17081859000627
120,na,13.205821734727294,31.058578409701187
121,na,32.32640893100348,129.81530608674578
122,na,45.22229051414074,51.42602104343367
123,na,82.78483201261703,60.470830465935784
124,e,137.29981770998072,48.25352677776371
125,na,44.25254321000248,129.81530608674578
126,na,47.030921442897046,46.26400573261807
127,na,24.40132319345575,44.64904407331509
128,na,36.92640171947214,44.15807455487427
129,na,28.882974692661044,44.108777314328904
130,na,80.04931485154844,25.587154254971086
131,na,52.81717741438385,35.531448539503465
132,na,78.16854979682758,129.81530608674578
133,na,40.04530518580126,33.61486007546844
134,na,9.410022836264949,79.01585109507901
135,na,37.830088153737826,20.150146287262746
136,na,37.55506182410557,25.992116736904958
137,na,81.67807251927776,35.275419384002504
138,na,55.87478384117262,49.446746234260395
139,na,23.45266954775814,48.56071015190356
140,na,42.25114649196189,55.03600279252632
141,na,27.372205526342512,37.3076792230377
142,na,36.37841002210413,44.90794796340983
143,na,35.130001784153315,14.198755736367866
144,na,4.493802271385244,31.202927594641842
145,na,57.55676511323519,46.62629694256554
146,na,23.42861646181018,24.69201255047384
147,na,39.279276986873164,56.137039164351705
148,na,50.66647426984347,93.79478299311565
149,na,43.07838235223184,31.681354205522855
150,na,25.12310724054141,45.12917343396333
151,na,81.37571990900123,75.24553081457024
152,na,8.956680135845557,52.642997713566814
